,elo
Spain,2246.6783817792425
Argentina,2210.580019854932
France,2172.398794117771
England,2087.264373786812
Brazil,2083.2297578807115
Colombia,2074.585563147347
Portugal,2073.0595976263285
Netherlands,2039.7452812939882
Ecuador,2036.184749623341
Germany,2012.8990487097576
Japan,2012.6031632260854
Croatia,2009.3048899238042
Morocco,2004.4308743120898
Norway,1994.8572348925497
Turkiye,1987.43877375948
Uruguay,1980.6973470760727
Switzerland,1970.1349103518523
Mexico,1967.5048969781978
Denmark,1954.252636592011
Senegal,1950.2201874879588
Belgium,1947.3942882809047
Italy,1939.227775165124
Paraguay,1925.6219014976812
Austria,1917.7465510310471
Canada,1916.1906926165395
Australia,1909.052700943593
IR Iran,1890.3764622434908
Yugoslavia,1889.6306699597355
Algeria,1881.5585376986505
Nigeria,1873.9500667341385
Korea Republic,1870.9322933489652
Serbia,1865.8358322394915
Basque Country,1858.6241686525127
Panama,1858.4433211673966
Russia,1855.393778913885
Ukraine,1852.5518462115297
Greece,1840.167662451967
Uzbekistan,1839.6737391091608
Scotland,1830.5512211562825
Venezuela,1829.7935292038521
USA,1829.0892324262413
Chile,1825.976872049563
Czechoslovakia,1822.3270983726495
Egypt,1821.5780759751906
Cote d'Ivoire,1818.2433583430145
Kosovo,1817.0407427478979
Sweden,1810.0268274561279
Jersey,1808.6166101887504
Czechia,1808.2734048043744
Poland,1805.050499623
Jordan,1786.8420412890691
German DR,1783.691172320398
Slovenia,1781.617464242628
Congo DR,1779.109946078747
Peru,1767.9598733096825
Hungary,1767.7698757391536
Wales,1767.4478265256844
Ireland,1761.8948159073448
Tunisia,1755.6701822075452
Slovakia,1753.5874046867289
Occitania,1747.9859104457353
Bolivia,1744.8808285331615
Costa Rica,1743.628499587612
Guernsey,1741.0272735809344
Iraq,1736.5705161415856
Georgia,1734.7315150011
Mali,1732.2231628140505
Albania,1731.3467988971513
New Zealand,1730.9632764626672
Cameroon,1728.8563150204504
Northern Cyprus,1724.6221049111207
Catalonia,1724.1730704065333
Isle of Man,1717.8284653265896
Honduras,1714.7283740573832
Israel,1713.6991821799206
Iraqi Kurdistan,1710.6069214688325
Padania,1702.9647165336082
Romania,1698.2548755134737
Haiti,1693.0800143278982
Northern Ireland,1682.6592186635203
Saudi Arabia,1679.8792311396942
Jamaica,1679.0315830946204
United Arab Emirates,1668.4027282587692
Isle of Wight,1668.1164884220702
Burkina Faso,1664.797575754062
Cabo Verde,1664.6429092593933
North Macedonia,1663.226627104517
South Africa,1661.8233030356716
Iceland,1658.4247126580206
Guatemala,1658.1218433205029
Bosnia & Herzegovina,1654.3246201193178
Ynys Môn,1651.7475384860334
Abkhazia,1644.1432977202658
Andalusia,1634.614454468908
County of Nice,1634.1102611091296
Kárpátalja,1631.3554281462361
Kernow,1631.217965147197
Syria,1611.3558624002185
Ghana,1611.193445658971
Finland,1609.269236988286
Belarus,1608.4076536275918
Panjab,1602.3045370383009
Rhodes,1599.7404264853656
Suriname,1598.2289675600482
Angola,1597.004851969355
Curaçao,1596.5785750964221
Oman,1592.7278184044856
Tamil Eelam,1590.446371034589
Palestine,1587.4105772776854
New Caledonia,1584.0848184273484
Guinea,1582.6839097683876
Réunion,1579.466294944898
Kurdistan,1577.9573674959859
Corsica,1576.9425807838127
Chameria,1576.7890656405511
Benin,1574.9262997478713
Artsakh,1573.6560830207209
Yorkshire,1572.5081749109065
Bulgaria,1567.4219412268908
Ellan Vannin,1566.6243468121436
Menorca,1562.5774206949907
Arameans Suryoye,1562.1283597897684
Zanzibar,1561.0740681161149
Zambia,1559.1152079530211
Gambia,1555.4115113773514
Cascadia,1554.2320527502966
China PR,1550.2471190648744
Quebec,1548.2572002022698
Qatar,1547.8613815214453
Trinidad and Tobago,1541.0910220188812
Bahrain,1539.7971313701596
Galicia,1539.1659492781293
Libya,1537.5660724679906
Maule Sur,1532.7424625669428
