team,elo,win_rate,gf,ga,n_matches
Spain,2246.6783817792425,0.7,3.1,0.8,10.0
Argentina,2210.580019854932,0.8,2.5,0.4,10.0
France,2172.398794117771,0.8,2.7,1.1,10.0
England,2087.264373786812,0.7,2.2,0.5,10.0
Brazil,2083.2297578807115,0.5,1.8,0.8,10.0
Colombia,2074.585563147347,0.5,2.1,1.0,10.0
Portugal,2073.0595976263285,0.6,2.6,1.0,10.0
Netherlands,2039.745281293988,0.7,3.0,0.6,10.0
Ecuador,2036.184749623341,0.2,0.7,0.4,10.0
Germany,2012.8990487097576,0.7,2.3,1.1,10.0
Japan,2012.6031632260851,0.6,1.8,0.7,10.0
Croatia,2009.304889923804,0.8,2.9,0.8,10.0
Morocco,2004.4308743120896,0.7,1.8,0.5,10.0
Norway,1994.8572348925495,0.7,3.1,0.6,10.0
Turkiye,1987.43877375948,0.7,2.1,1.4,10.0
Uruguay,1980.697347076073,0.4,1.0,0.9,10.0
Switzerland,1970.1349103518523,0.6,2.5,0.8,10.0
Mexico,1967.5048969781976,0.3,1.1,1.0,10.0
Senegal,1950.2201874879588,0.8,2.5,0.6,10.0
Belgium,1947.394288280905,0.6,3.5,1.0,10.0
Paraguay,1925.6219014976807,0.4,1.0,1.0,10.0
Austria,1917.7465510310471,0.8,2.8,0.5,10.0
Canada,1916.1906926165395,0.4,1.1,0.4,10.0
Australia,1909.052700943593,0.7,1.5,0.9,10.0
IR Iran,1890.3764622434908,0.4,1.6,0.7,10.0
Algeria,1881.5585376986503,0.7,2.3,0.5,10.0
Korea Republic,1870.9322933489648,0.6,1.5,1.2,10.0
Panama,1858.4433211673968,0.4,1.3,0.8,10.0
Uzbekistan,1839.6737391091608,0.4,1.5,0.7,10.0
Scotland,1830.5512211562825,0.5,1.8,1.2,10.0
USA,1829.089232426241,0.5,1.7,1.6,10.0
Egypt,1821.5780759751904,0.5,1.3,0.8,10.0
Cote d'Ivoire,1818.2433583430145,0.7,2.0,0.7,10.0
Sweden,1810.026827456128,0.4,1.6,1.8,10.0
Czechia,1808.2734048043744,0.4,1.8,1.2,10.0
Jordan,1786.8420412890691,0.5,2.0,1.5,10.0
Congo DR,1779.109946078747,0.7,1.2,0.3,10.0
Tunisia,1755.6701822075452,0.3,1.4,1.0,10.0
Iraq,1736.5705161415856,0.6,1.1,0.7,10.0
New Zealand,1730.9632764626672,0.2,0.9,1.5,10.0
Haiti,1693.0800143278982,0.3,1.2,1.1,10.0
Saudi Arabia,1679.8792311396942,0.4,0.9,1.3,10.0
Cabo Verde,1664.6429092593933,0.4,1.7,1.0,10.0
South Africa,1661.8233030356716,0.4,1.5,1.1,10.0
Bosnia & Herzegovina,1654.3246201193178,0.4,2.1,1.1,10.0
Ghana,1611.193445658971,0.4,1.5,1.3,10.0
Curaçao,1596.578575096422,0.3,1.6,1.3,10.0
Qatar,1547.8613815214453,0.1,0.9,1.9,10.0
