,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,1,Belgium,BEL,1765,1755.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bel,10.0
1,2019-11-28T00:00:00,2,France,FRA,1733,1726.0,https://api.fifa.com/api/v1/picture/flags-sq-4/fra,7.0
2,2019-11-28T00:00:00,3,Brazil,BRA,1712,1715.0,https://api.fifa.com/api/v1/picture/flags-sq-4/bra,-3.0
3,2019-11-28T00:00:00,4,England,ENG,1661,1651.0,https://api.fifa.com/api/v1/picture/flags-sq-4/eng,10.0
4,2019-11-28T00:00:00,5,Uruguay,URU,1645,1642.0,https://api.fifa.com/api/v1/picture/flags-sq-4/uru,3.0
5,2019-11-28T00:00:00,6,Croatia,CRO,1642,1631.0,https://api.fifa.com/api/v1/picture/flags-sq-4/cro,11.0
6,2019-11-28T00:00:00,7,Portugal,POR,1639,1632.0,https://api.fifa.com/api/v1/picture/flags-sq-4/por,7.0
7,2019-11-28T00:00:00,8,Spain,ESP,1636,1625.0,https://api.fifa.com/api/v1/picture/flags-sq-4/esp,11.0
8,2019-11-28T00:00:00,9,Argentina,ARG,1623,1617.0,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,6.0
9,2019-11-28T00:00:00,10,Colombia,COL,1622,1615.0,https://api.fifa.com/api/v1/picture/flags-sq-4/col,7.0
10,2019-11-28T00:00:00,11,Mexico,MEX,1621,1613.0,https://api.fifa.com/api/v1/picture/flags-sq-4/mex,8.0
11,2019-11-28T00:00:00,12,Switzerland,SUI,1608,1601.0,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,7.0
12,2019-11-28T00:00:00,13,Italy,ITA,1607,1593.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,14.0
13,2019-11-28T00:00:00,14,Netherlands,NED,1604,1602.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ned,2.0
14,2019-11-28T00:00:00,15,Germany,GER,1602,1586.0,https://api.fifa.com/api/v1/picture/flags-sq-4/ger,16.0
15,2019-11-28T00:00:00,16,Denmark,DEN,1598,1599.0,https://api.fifa.com/api/v1/picture/flags-sq-4/den,-1.0
16,2019-11-28T00:00:00,17,Chile,CHI,1579,1579.0,https://api.fifa.com/api/v1/picture/flags-sq-4/chi,0.0
17,2019-11-28T00:00:00,17,Sweden,SWE,1579,1563.0,https://api.fifa.com/api/v1/picture/flags-sq-4/swe,16.0
18,2019-11-28T00:00:00,19,Poland,POL,1559,1544.0,https://api.fifa.com/api/v1/picture/flags-sq-4/pol,15.0
