,importance
elo_expected_home,0.24819249
elo_diff,0.11937662
is_home_advantage,0.05303589
tt_WC_Qualifier,0.041666873
home_ga_10,0.04098379
tt_Friendly,0.04010086
h2h_avg_goal_diff,0.038606495
away_ga_10,0.03768883
away_gf_10,0.034804735
home_win_rate_10,0.03468518
tt_Continental,0.03462842
elo_pre_home,0.034131635
elo_pre_away,0.03398472
h2h_home_win_rate,0.03393458
away_win_rate_10,0.03315065
h2h_count,0.03291784
home_gf_10,0.031862807
tt_WC,0.02947043
tt_Other,0.029356174
tt_Qualifier,0.017420914
