team,p_champion,p_final,p_sf,p_qf,p_r16,p_r32,n_sim,ci_low,ci_high
Spain,0.1634,0.239,0.3639,0.474,0.6952,0.6952,10000,0.15628278480500016,0.17077573239503227
Argentina,0.1586,0.2487,0.3653,0.5111,0.6545,0.6545,10000,0.15157134403116942,0.16589085968864956
France,0.1123,0.1833,0.3027,0.4478,0.6731,0.6731,10000,0.1062598692548283,0.11863789402043184
England,0.0669,0.1277,0.2244,0.3823,0.6199,0.6199,10000,0.06216739698221057,0.0719652346260308
Brazil,0.0544,0.1129,0.203,0.3475,0.554,0.554,10000,0.050123293088608876,0.05901893883157664
Colombia,0.0459,0.0915,0.1719,0.3177,0.5625,0.5625,10000,0.0419698045937483,0.050178955538559264
Portugal,0.0402,0.086,0.1725,0.3231,0.5748,0.5748,10000,0.036523271820358055,0.04422986605419604
Netherlands,0.0401,0.0876,0.1731,0.3322,0.5346,0.5346,10000,0.036427893968308,0.04412532070874165
Germany,0.0393,0.0897,0.1851,0.3267,0.6446,0.6446,10000,0.0356651058305999,0.043288723266414184
Ecuador,0.0371,0.0813,0.1588,0.2752,0.5356,0.5356,10000,0.033569673251505644,0.04098584550041061
Japan,0.033,0.07,0.1366,0.2739,0.475,0.475,10000,0.029674140137810126,0.036684527516423815
Croatia,0.0264,0.0623,0.139,0.2787,0.5264,0.5264,10000,0.02343490721048568,0.029728829408454786
Morocco,0.0256,0.0595,0.128,0.2534,0.4561,0.4561,10000,0.022681814099668917,0.028882536939235978
Switzerland,0.018,0.0476,0.1151,0.2879,0.5662,0.5662,10000,0.015573185832297557,0.02079700219626938
Norway,0.0178,0.0456,0.102,0.2166,0.4224,0.4224,10000,0.015387471869214952,0.0205828697643431
Senegal,0.0147,0.0382,0.0896,0.1924,0.3999,0.3999,10000,0.01252061978936871,0.017252102721551494
Turkiye,0.0145,0.0357,0.085,0.2093,0.435,0.435,10000,0.012336501579320817,0.017036374536590494
Mexico,0.0134,0.0386,0.099,0.259,0.5694,0.5694,10000,0.01132594677199233,0.015847774171370066
Belgium,0.0112,0.0299,0.0763,0.2144,0.4685,0.4685,10000,0.009316956037368184,0.013458454560896385
Uruguay,0.01,0.0319,0.0827,0.1744,0.3237,0.3237,10000,0.008229306747947238,0.012147025480263973
Canada,0.0097,0.0287,0.0831,0.2174,0.5189,0.5189,10000,0.007958452528822995,0.011818110106874875
Austria,0.0077,0.0224,0.056,0.1359,0.2863,0.2863,10000,0.006165718952829758,0.00961237973277918
IR Iran,0.0054,0.0161,0.0474,0.1394,0.3605,0.3605,10000,0.00414129736628239,0.0070385677767242725
Algeria,0.0049,0.0139,0.0413,0.1028,0.238,0.238,10000,0.003708607890717938,0.00647164126476649
Paraguay,0.0039,0.0161,0.0482,0.1315,0.3255,0.3255,10000,0.0028543446219494737,0.005326672558490487
Korea Republic,0.0029,0.0096,0.0304,0.0939,0.2885,0.2885,10000,0.002019983350543452,0.004161801854852043
Egypt,0.0027,0.0089,0.0302,0.1023,0.2765,0.2765,10000,0.0018563179891469945,0.003925620821239607
Australia,0.0027,0.0101,0.0331,0.1023,0.2715,0.2715,10000,0.0018563179891469945,0.003925620821239607
USA,0.0026,0.0102,0.0402,0.1315,0.3551,0.3551,10000,0.001774976064828278,0.0038070395480538756
Czechia,0.0024,0.0079,0.0288,0.0956,0.293,0.293,10000,0.001613367184247764,0.0035688020336254967
Cote d'Ivoire,0.002,0.0086,0.028,0.0832,0.2513,0.2513,10000,0.0012951015278757226,0.003087374899979752
Panama,0.002,0.0089,0.0293,0.0866,0.2364,0.2364,10000,0.0012951015278757226,0.003087374899979752
Uzbekistan,0.0019,0.0067,0.0238,0.0699,0.1816,0.1816,10000,0.001216734354204272,0.0029658188761467565
Scotland,0.0017,0.0042,0.0183,0.0609,0.1586,0.1586,10000,0.0010616983407886484,0.0027210084945534863
Congo DR,0.0014,0.0039,0.0141,0.0401,0.1229,0.1229,10000,0.0008341542630379929,0.0023487829797908017
Jordan,0.0011,0.0035,0.0156,0.0478,0.14,0.14,10000,0.0006143442571264699,0.001968823393188985
Sweden,0.0007,0.0034,0.0128,0.0487,0.1499,0.1499,10000,0.00033912200289172947,0.0014443528574059384
Bosnia & Herzegovina,0.0004,0.0012,0.0056,0.0332,0.1331,0.1331,10000,0.0001555603210541602,0.0010281449467301677
Iraq,0.0003,0.0009,0.0045,0.0196,0.0631,0.0631,10000,0.00010203035287762114,0.0008817517174022601
New Zealand,0.0003,0.0014,0.0062,0.0268,0.0993,0.0993,10000,0.00010203035287762114,0.0008817517174022601
South Africa,0.0002,0.0006,0.004,0.0183,0.0999,0.0999,10000,5.4847779209068104e-05,0.0007290110935663664
Haiti,0.0001,0.001,0.0032,0.0124,0.0527,0.0527,10000,1.765221952685649e-05,0.0005662834557441313
Tunisia,0.0001,0.0026,0.0107,0.0385,0.1235,0.1235,10000,1.765221952685649e-05,0.0005662834557441313
Saudi Arabia,0.0001,0.0004,0.0023,0.0144,0.057,0.057,10000,1.765221952685649e-05,0.0005662834557441313
Qatar,0.0,0.0001,0.0008,0.0086,0.0435,0.0435,10000,0.0,0.00038401247776654115
Curaçao,0.0,0.0001,0.0009,0.0105,0.0607,0.0607,10000,0.0,0.00038401247776654115
Cabo Verde,0.0,0.001,0.0056,0.0224,0.0829,0.0829,10000,0.0,0.00038401247776654115
Ghana,0.0,0.0006,0.0016,0.0079,0.0384,0.0384,10000,0.0,0.00038401247776654115
